通番号,所管,測定局名,所在地,緯度,経度,設置年度,二酸化硫黄,一酸化窒素,二酸化窒素,一酸化炭素,メタン,非メタン炭化水素,光化学オキシダント,浮遊粒子状物質,微小粒子状物質,風向・風速,温度,湿度,雨量,日射量,交通量,局区分,対象道路
1,大阪府,国設大阪,大阪市中央区大手前４－１－６７,34.682428,135.519145,昭和43年度,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,一般環境大気測定局,
2,大阪府,国設四條畷,四條畷市江瀬美町１２－１１,34.737112,135.631978,平成8年度,●,●,●,●,●,●,,●,●,●,●,●,,,●,自動車排出ガス測定局,国道１７０号
3,大阪府,西部コミュニティセンター,守口市文園町８－８,34.72972,135.556923,昭和42年度,,●,●,,,,●,●,●,,●,,,,,一般環境大気測定局,
4,大阪府,茨木市役所,茨木市駅前３－８－１３,34.815908,135.568496,昭和44年度,●,●,●,,,,●,●,●,●,●,,,●,,一般環境大気測定局,
5,大阪府,高石中学校,高石市東羽衣６－６－４５,34.525416,135.446863,昭和44年度,●,●,●,,,,●,●,●,●,,,,,,一般環境大気測定局,
6,大阪府,池田市立南畑会館,池田市畑１－７－４,34.824985,135.447537,昭和57年度,,●,●,,●,●,●,●,●,●,●,●,,●,,一般環境大気測定局,
7,大阪府,大東市役所,大東市谷川１－１－１,34.711815,135.623001,昭和48年度,,●,●,,,,●,●,●,●,●,,,●,,一般環境大気測定局,
8,大阪府,府立修徳学院,柏原市大字高井田８０９－１,34.573197,135.643094,昭和49年度,,●,●,,,,●,●,●,●,,,,,,一般環境大気測定局,
9,大阪府,貝塚市消防署,貝塚市鳥羽１２２－１,34.435801,135.366124,昭和50年度,,●,●,,●,●,●,●,●,●,,,,,,一般環境大気測定局,
10,大阪府,島本町役場,島本町桜井２－１－１,34.883827,135.663022,昭和50年度,,●,●,,,,●,●,●,●,,,,,,一般環境大気測定局,
11,大阪府,富田林市役所,富田林市常盤町１－１,34.499844,135.597297,昭和60年度,●,●,●,,●,●,●,●,●,●,●,●,,●,,一般環境大気測定局,
12,大阪府,南海団地,阪南市舞４－６－１４,34.339512,135.228444,昭和61年度,,●,●,,,,●,●,●,●,,,,,,一般環境大気測定局,
13,大阪府,泉南市役所,泉南市樽井１－１－１,34.366007,135.2733,昭和63年度,,●,●,,,,●,●,●,●,,,,,,一般環境大気測定局,
14,大阪府,緑ケ丘小学校,和泉市緑ケ丘３－４－１,34.446195,135.459613,平成3年度,,●,●,,,,●,●,●,●,●,,,●,,一般環境大気測定局,
15,大阪府,三日市公民館,河内長野市三日市町２８８－１,34.4388,135.567212,平成4年度,,●,●,,,,●,●,●,●,,,,,,一般環境大気測定局,
16,大阪府,藤井寺市役所,藤井寺市岡１－１－１,34.574283,135.597476,平成7年度,,●,●,,,,●,●,●,●,●,,,,,一般環境大気測定局,
17,大阪府,岸和田中央公園,岸和田市西之内町２７９－２,34.466308,135.393405,平成9年度,●,●,●,,●,●,●,●,●,●,●,●,,,,一般環境大気測定局,
18,大阪府,佐野中学校,泉佐野市羽倉崎４－３－１２,34.40427,135.298284,平成11年度,,●,●,,,,●,●,●,,,,,,,一般環境大気測定局,
19,大阪府,泉大津市役所,泉大津市東雲町９－１２,34.504268,135.410472,昭和55年度,,●,●,,,,●,●,●,●,,,,,,一般環境大気測定局,
20,大阪府,豊能町役場,豊能町余野４１４－１,34.91885,135.494095,平成21年度,,●,●,,,,●,●,●,●,●,,,,,一般環境大気測定局,
21,大阪府,淀川工科高校,守口市京阪本通２－６２,34.737975,135.563367,昭和45年度,,●,●,,●,●,,●,●,,,,,,,自動車排出ガス測定局,国道１号
22,大阪府,松原北小学校,松原市阿保１－１６－３,34.57937,135.551719,昭和46年度,,●,●,,●,●,,●,●,,,,,,●,自動車排出ガス測定局,国道３０９号
23,大阪府,摂津市役所,摂津市三島１－２－１,34.775765,135.56225,昭和48年度,,●,●,,●,●,,●,,,,,,,●,自動車排出ガス測定局,大阪府道２号大阪中央環状線
24,大阪府,末広公園,泉佐野市新安松１－１－２４,34.401142,135.307097,平成1年度,,●,●,,,,,●,●,●,●,●,,●,,自動車排出ガス測定局,国道２６号
25,大阪府,天の川下水ポンプ場,岸和田市春木大国町８－２０,34.483434,135.381347,平成2年度,,●,●,,,,,●,,,,,,,,自動車排出ガス測定局,大阪府道大阪臨海線
26,大阪府,外環河内長野,河内長野市西之山町２－２１,34.455343,135.563653,平成3年度,,●,●,,,,,●,●,,,,,,,自動車排出ガス測定局,国道１７０号
27,大阪府,カモドールＭＢＳ,高石市西取石６－１１－１,34.517009,135.446307,平成4年度,,●,●,,●,●,,●,●,,,,,,,自動車排出ガス測定局,国道２６号
28,大阪市,菅北小学校,大阪市北区菅栄町９－５,34.70853,135.513753,昭和45年度,,●,●,,,,,●,●,,,,,,,一般環境大気測定局,
29,大阪市,此花区役所,大阪市此花区春日出北１－８－４,34.683037,135.452225,昭和42年度,●,●,●,,●,●,●,●,●,●,,,,,,一般環境大気測定局,
30,大阪市,平尾小学校,大阪市大正区平尾２－２１－２８,34.640849,135.474019,昭和40年度,●,●,●,,,,●,●,●,●,●,●,,●,,一般環境大気測定局,
31,大阪市,野中小学校,大阪市淀川区野中北１－１１－２６,34.727891,135.480522,昭和40年度,●,●,●,,●,●,●,●,●,●,,,,,,一般環境大気測定局,
32,大阪市,桃谷中学校,大阪市生野区勝山北３－１３－４４,34.655067,135.533477,昭和42年度,●,●,●,,,,●,●,,●,,,,,,一般環境大気測定局,
33,大阪市,大宮中学校,大阪市旭区中宮４－７－１１,34.726643,135.541211,昭和42年度,●,●,●,,,,●,●,,●,,,,,,一般環境大気測定局,
34,大阪市,聖賢小学校,大阪市城東区新喜多２－４－３５,34.697146,135.54304,昭和41年度,●,●,●,,,,●,●,●,●,,,,,,一般環境大気測定局,
35,大阪市,清江小学校,大阪市住之江区御崎５－７－１７,34.608291,135.480664,昭和42年度,●,●,●,,,,●,●,,●,,,,,,一般環境大気測定局,
36,大阪市,摂陽中学校,大阪市平野区平野西３－４－７,34.620177,135.545904,昭和42年度,●,●,●,,●,●,●,●,,●,●,●,,●,,一般環境大気測定局,
37,大阪市,今宮中学校,大阪市西成区花園北１－８－３２,34.648687,135.498247,昭和42年度,,●,●,,,,●,●,,●,,,,,,一般環境大気測定局,
38,大阪市,九条南小学校,大阪市西区九条南２－１３－１７,34.672911,135.472599,昭和49年度,●,●,●,,,,●,●,●,,,,,,,一般環境大気測定局,
39,大阪市,茨田北小学校,大阪市鶴見区浜３－８－６６,34.708765,135.585974,昭和48年度,,,,,,,●,●,,,,,,,,一般環境大気測定局,
40,大阪市,南港中央公園,大阪市住之江区南港東８－５,34.632348,135.431623,平成11年度,●,●,●,,,,●,●,●,●,,,,,,一般環境大気測定局,
41,大阪市,梅田新道,大阪市北区西天満２－７－９,34.696042,135.501699,昭和41年度,,●,●,●,,,,●,,,,,,,,自動車排出ガス測定局,国道２５号
42,大阪市,出来島小学校,大阪市西淀川区出来島２－２－２４,34.704599,135.437387,昭和44年度,●,●,●,●,●,●,●,●,●,,,,,,,自動車排出ガス測定局,国道４３号
43,大阪市,北粉浜小学校,大阪市住之江区粉浜１－５－４８,34.623176,135.491004,昭和43年度,,●,●,,●,●,,●,●,,,,,,,自動車排出ガス測定局,国道２６号
44,大阪市,杭全町交差点,大阪市東住吉区杭全町２－１３－６先,34.637053,135.538075,昭和45年度,,●,●,,,,,●,●,,,,,,,自動車排出ガス測定局,国道２５号
45,大阪市,新森小路小学校,大阪市旭区新森６－３－１３,34.716041,135.561482,昭和45年度,,●,●,,,,,●,●,,,,,,,自動車排出ガス測定局,国道１６３号
46,大阪市,海老江西小学校,大阪市福島区海老江８－１－１０,34.697436,135.469929,昭和45年度,●,●,●,,,,,●,,,,,,,,自動車排出ガス測定局,国道２号
47,大阪市,今里交差点,大阪市東成区大今里西３－３－１１,34.668399,135.542648,昭和46年度,,●,●,●,,,,●,,,,,,,,自動車排出ガス測定局,大阪府道大阪八尾線
48,大阪市,茨田中学校,大阪市鶴見区諸口３－４－４４,34.703999,135.577681,昭和47年度,,●,●,,,,,●,,,,,,,,自動車排出ガス測定局,大阪府道大阪生駒線
49,大阪市,住之江交差点,大阪市住之江区南加賀屋１－１－８０先,34.611599,135.475589,昭和47年度,,●,●,,,,,,,,,,,,,自動車排出ガス測定局,大阪市道浜口南港線
50,大阪市,上新庄交差点,大阪市東淀川区上新庄２－４－１５先,34.748587,135.528256,昭和47年度,,●,●,,,,,,,,,,,,,自動車排出ガス測定局,国道４７９号
51,大阪市,我孫子中学校,大阪市住吉区我孫子東１－４－３２,34.604647,135.512077,昭和48年度,,●,●,,,,,●,●,,,,,,,自動車排出ガス測定局,大阪府道大阪高石線
52,堺市,少林寺,堺市堺区少林寺町東４－１－１,34.571103,135.47151,昭和38年度,●,●,●,,●,●,●,●,,●,●,●,,●,,一般環境大気測定局,
53,堺市,浜寺,堺市西区浜寺船尾町西５－６０,34.543514,135.458059,昭和38年度,●,●,●,,●,●,●,●,●,●,●,●,,,,一般環境大気測定局,
54,堺市,三宝,堺市堺区三宝町５－２８６,34.593959,135.471781,昭和45年度,●,●,●,,●,●,●,●,●,●,,,,,,一般環境大気測定局,
55,堺市,若松台,堺市南区若松台３－３４－１,34.486588,135.513071,昭和46年度,●,●,●,,,,●,●,●,●,●,●,,,,一般環境大気測定局,
56,堺市,石津,堺市西区浜寺石津町中２－３－２８,34.559729,135.454995,昭和39年度,●,●,●,,●,●,●,●,,●,,,,,,一般環境大気測定局,
57,堺市,登美丘,堺市東区大美野１３５,34.526534,135.528911,昭和46年度,,●,●,,,,●,●,,●,,,,,,一般環境大気測定局,
58,堺市,深井,堺市中区深井水池町３２１４,34.5307,135.501502,平成1年度,,●,●,,,,●,●,●,●,,,,,,一般環境大気測定局,
59,堺市,美原,堺市美原区小平尾３９０,34.538872,135.563097,平成20年度,,●,●,,,,●,●,,●,●,●,,,,一般環境大気測定局,
60,堺市,金岡南,堺市北区金岡町１１８２－１,34.555608,135.511565,平成28年度,●,●,●,,●,●,●,●,●,●,,,,,,一般環境大気測定局,
61,堺市,堺市役所,堺市堺区南瓦町３－１,34.573412,135.482889,昭和45年度,,●,●,,,,,●,,,,,,,,自動車排出ガス測定局,大阪府道大阪和泉泉南線
62,堺市,湾岸,堺市西区石津西町２４－４,34.559276,135.448926,昭和63年度,,●,●,,,,,●,,,,,,,,自動車排出ガス測定局,大阪府道大阪臨海線
63,堺市,常磐浜寺,堺市北区新金岡町４－１－９,34.568329,135.516497,昭和63年度,,●,●,,,,,●,,,,,,,,自動車排出ガス測定局,大阪府道大阪高石線
64,堺市,阪和深井畑山,堺市中区深井東町２６６１－３,34.527747,135.508846,平成4年度,,●,●,,,,,●,,●,,,,,,自動車排出ガス測定局,大阪府道泉大津美原線、阪和自動車道
65,堺市,美原丹上,堺市美原区丹上３２９－１,34.556853,135.562266,平成16年度,,●,●,●,,,,●,●,●,,,,,,自動車排出ガス測定局,南阪奈道路、阪和自動車道、泉大津美原線
66,堺市,中環石原,堺市東区石原町１－２０－１,34.554428,135.531832,平成24年度,,●,●,●,,,,●,●,●,,,,,,自動車排出ガス測定局,大阪府道２号大阪中央環状線
67,豊中市,豊中市千成,豊中市千成町２－２－６５,34.738203,135.473414,昭和48年度,●,●,●,,,,●,●,●,●,●,,,,,一般環境大気測定局,
68,豊中市,豊中市千里,豊中市新千里西町１－１－３,34.809312,135.49255,昭和49年度,,●,●,,,,●,●,,●,●,,,,,自動車排出ガス測定局,豊中市道新千里５号線、大阪中央環状線
69,豊中市,豊中市役所,豊中市中桜塚３－１－１,34.781524,135.469622,昭和46年度,●,●,●,●,●,●,●,●,,●,●,,,,,自動車排出ガス測定局,国道１７６号
70,吹田市,吹田市垂水,吹田市垂水町３－３２－５０,34.758418,135.50443,昭和47年度,,●,●,,,,●,●,,●,●,●,●,,,一般環境大気測定局,
71,吹田市,吹田市北消防署,吹田市藤白台１－１－５０,34.811754,135.516606,昭和54年度,●,●,●,,●,●,●,●,●,●,●,●,,●,,一般環境大気測定局,
72,吹田市,吹田市高野台,吹田市高野台４－５－１,34.791987,135.518845,平成30年度,,●,●,,,,●,●,,●,,,,,,一般環境大気測定局,
73,吹田市,吹田簡易裁判所,吹田市寿町１－５－５,34.756372,135.521062,平成8年度,●,●,●,●,●,●,,●,●,●,,,,,,自動車排出ガス測定局,国道４７９号、大阪高槻京都線
74,東大阪市,東大阪市西保健センター,東大阪市高井田元町２－８－２７,34.664975,135.575862,昭和42年度,●,●,●,,●,●,●,●,●,●,,,,,,一般環境大気測定局,
75,東大阪市,東大阪市六万寺,東大阪市南四条町３－３３,34.655736,135.640043,昭和44年度,●,●,●,,,,●,●,●,●,●,●,,,,一般環境大気測定局,
76,東大阪市,東大阪市環境衛生検査センター,東大阪市西岩田３－３－２,34.668059,135.597324,昭和50年度,●,●,●,●,●,●,●,●,●,●,,,,,,自動車排出ガス測定局,大阪府道２号大阪中央環状線
77,枚方市,楠葉,枚方市楠葉並木２－２９－３,34.859661,135.681601,昭和50年度,,●,●,,,,●,●,,●,,,,,,一般環境大気測定局,
78,枚方市,枚方市役所,枚方市大垣内町２－１－２０,34.814723,135.651291,昭和48年度,●,●,●,,●,●,●,●,,●,,,,,,一般環境大気測定局,
79,枚方市,王仁公園,枚方市王仁公園１,34.817788,135.708664,昭和51年度,,●,●,,,,●,●,●,●,,,,,,一般環境大気測定局,
80,枚方市,招提,枚方市招提南町３－１０２２－１,34.831828,135.684985,昭和61年度,,●,●,,,,,●,,●,,,,,,自動車排出ガス測定局,国道１号
81,枚方市,中振,枚方市南中振３－２９４－８,34.794384,135.625413,昭和63年度,●,●,●,●,,,,●,●,●,,,,,,自動車排出ガス測定局,国道１号
82,高槻市,高槻北,高槻市大蔵司２－５１－２,34.863067,135.597781,昭和62年度,,●,●,,,,●,●,●,●,,,,,,一般環境大気測定局,
83,高槻市,庄所,高槻市南庄所町３,34.837317,135.614994,平成25年度,,●,●,,,,●,●,●,●,●,●,,,,一般環境大気測定局,
84,高槻市,梶原,高槻市梶原１－５,34.865381,135.649221,平成30年度,,●,●,●,,,,●,,●,●,●,,,,一般環境大気測定局,
85,高槻市,高槻市役所,高槻市桃園町２－１,34.846403,135.617327,昭和48年度,●,●,●,●,●,●,,●,●,●,,,,,,自動車排出ガス測定局,国道１７１号
86,八尾市,八尾市保健所,八尾市清水町１－２－５,34.625522,135.601922,昭和42年度,●,●,●,,,,●,●,●,●,,,,,,一般環境大気測定局,
87,八尾市,水越,八尾市水越３－７０,34.635396,135.638613,平成13年度,●,●,●,,,,,●,,●,,,,,,一般環境大気測定局,
88,八尾市,太子堂,八尾市南太子堂２－４－７,34.612317,135.589217,昭和45年度,,●,●,,●,●,,●,,,,,,,,自動車排出ガス測定局,国道２５号
89,八尾市,久宝寺緑地,八尾市西久宝寺６５１,34.626904,135.584206,平成19年度,,●,●,,,,,●,,,,,,,,自動車排出ガス測定局,大阪府道２号大阪中央環状線、近畿自動車道天理吹田線
?90,寝屋川市?,成田,寝屋川市成田町３－６,34.777558,135.641282,昭和61年度,●,●,●,●,,,●,●,,●,●,●,,,,一般環境大気測定局,
?91,寝屋川市?,寝屋川市役所,寝屋川市本町１－１,34.766079,135.628011,昭和44年度,,●,●,,●,●,●,●,●,●,●,●,,,,一般環境大気測定局,
92,高石市,高石消防署高師浜出張所,高石市高師浜４－１５－３４,34.526696,135.428809,平成18年度,●,●,●,,,,●,●,,●,●,●,,,,一般環境大気測定局,
93,交野市,交野市役所,交野市私部１－１－１,34.788399,135.679911,昭和49年度,,●,●,,,,●,●,,,,,,,,一般環境大気測定局,
94,守口市,大日測定局,守口市大日町３－１６８,34.755262,135.581268,昭和60年度,●,●,●,,,,●,●,,,,,,,,一般環境大気測定局,
95,門真市,門真市役所,門真市中町１－１,34.739548,135.586873,昭和55年度,●,●,●,,,,●,●,,●,,,,,,一般環境大気測定局,
96,門真市,門真市南,門真市三ッ島１－６,34.722272,135.594034,平成3年度,●,●,●,●,,,●,●,,●,,,,,,一般環境大気測定局,
97,柏原市,柏原市役所,柏原市安堂町１－５５,34.576513,135.63009,昭和47年度,,●,●,,,,●,●,,,,,,,,一般環境大気測定局,
98,藤井寺市,道明寺東小学校,藤井寺市国府２－５－２１,34.573144,135.622221,昭和61年度,,,,,,,●,,,●,,,,,,一般環境大気測定局,
99,茨木市,耳原小学校,茨木市耳原２丁目２０－５５,34.839063,135.562046,平成20年度,●,●,●,,,,●,●,,●,,,,,,一般環境大気測定局,
